tenure,Bungalow,Flat,House,Maisonette
owner-occupied,0.38778039707733786,0.11536770576594567,0.49549022024950307,0.24365233907386186
rental (private),0.4039048164727523,0.17061444988597688,0.35503001702745357,0.21267823745382256
rental (social),0.28909523470513976,0.0783866359140867,0.2676936669941642,0.06708966091750858
